temps = 60.00	sensor = 183	 temperature = 37.19	 relai = 1
temps = 60.50	sensor = 183	 temperature = 37.19	 relai = 1
temps = 61.00	sensor = 184	 temperature = 39.12	 relai = 1
temps = 61.50	sensor = 184	 temperature = 39.12	 relai = 1
temps = 62.00	sensor = 184	 temperature = 39.12	 relai = 1
temps = 62.50	sensor = 185	 temperature = 41.05	 relai = 1
temps = 63.00	sensor = 185	 temperature = 41.05	 relai = 1
temps = 63.50	sensor = 185	 temperature = 41.05	 relai = 1
temps = 64.00	sensor = 185	 temperature = 41.05	 relai = 1
temps = 64.50	sensor = 185	 temperature = 41.05	 relai = 1
temps = 65.00	sensor = 186	 temperature = 42.98	 relai = 1
temps = 65.50	sensor = 186	 temperature = 42.98	 relai = 1
temps = 66.00	sensor = 186	 temperature = 42.98	 relai = 1
temps = 66.50	sensor = 186	 temperature = 42.98	 relai = 1
temps = 67.00	sensor = 186	 temperature = 42.98	 relai = 1
temps = 67.50	sensor = 187	 temperature = 44.91	 relai = 1
temps = 68.00	sensor = 187	 temperature = 44.91	 relai = 1
temps = 68.50	sensor = 188	 temperature = 46.84	 relai = 1
temps = 69.00	sensor = 187	 temperature = 44.91	 relai = 1
temps = 69.50	sensor = 188	 temperature = 46.84	 relai = 1
temps = 70.00	sensor = 188	 temperature = 46.84	 relai = 1
temps = 70.50	sensor = 188	 temperature = 46.84	 relai = 1
temps = 71.00	sensor = 189	 temperature = 48.77	 relai = 1
temps = 71.50	sensor = 189	 temperature = 48.77	 relai = 1
temps = 72.00	sensor = 190	 temperature = 50.70	 relai = 1
temps = 72.50	sensor = 190	 temperature = 50.70	 relai = 1
temps = 73.00	sensor = 190	 temperature = 50.70	 relai = 1
temps = 73.50	sensor = 190	 temperature = 50.70	 relai = 1
temps = 74.00	sensor = 190	 temperature = 50.70	 relai = 1
temps = 74.50	sensor = 191	 temperature = 52.63	 relai = 1
temps = 75.00	sensor = 191	 temperature = 52.63	 relai = 1
temps = 75.50	sensor = 192	 temperature = 54.56	 relai = 1
temps = 76.00	sensor = 192	 temperature = 54.56	 relai = 1
temps = 76.50	sensor = 192	 temperature = 54.56	 relai = 1
temps = 77.00	sensor = 192	 temperature = 54.56	 relai = 1
temps = 77.50	sensor = 193	 temperature = 56.49	 relai = 1
temps = 78.00	sensor = 193	 temperature = 56.49	 relai = 1
temps = 78.50	sensor = 193	 temperature = 56.49	 relai = 1
temps = 79.00	sensor = 194	 temperature = 58.42	 relai = 1
temps = 79.50	sensor = 194	 temperature = 58.42	 relai = 1
temps = 80.00	sensor = 194	 temperature = 58.42	 relai = 1
temps = 80.50	sensor = 194	 temperature = 58.42	 relai = 1
temps = 81.00	sensor = 195	 temperature = 60.35	 relai = 1
temps = 81.50	sensor = 195	 temperature = 60.35	 relai = 1
temps = 82.00	sensor = 195	 temperature = 60.35	 relai = 1
temps = 82.50	sensor = 196	 temperature = 62.28	 relai = 1
temps = 83.00	sensor = 196	 temperature = 62.28	 relai = 1
temps = 83.50	sensor = 196	 temperature = 62.28	 relai = 1
temps = 84.00	sensor = 197	 temperature = 64.21	 relai = 1
temps = 84.50	sensor = 198	 temperature = 66.14	 relai = 1
temps = 85.00	sensor = 197	 temperature = 64.21	 relai = 1
temps = 85.50	sensor = 198	 temperature = 66.14	 relai = 1
temps = 86.00	sensor = 198	 temperature = 66.14	 relai = 1
temps = 86.50	sensor = 198	 temperature = 66.14	 relai = 1
temps = 87.00	sensor = 198	 temperature = 66.14	 relai = 1
temps = 87.50	sensor = 199	 temperature = 68.07	 relai = 1
temps = 88.00	sensor = 199	 temperature = 68.07	 relai = 1
temps = 88.50	sensor = 200	 temperature = 70.00	 relai = 1
temps = 89.00	sensor = 200	 temperature = 70.00	 relai = 1
temps = 89.50	sensor = 200	 temperature = 70.00	 relai = 1
temps = 90.00	sensor = 200	 temperature = 70.00	 relai = 1
temps = 90.50	sensor = 201	 temperature = 71.93	 relai = 1
temps = 91.00	sensor = 201	 temperature = 71.93	 relai = 1
temps = 91.50	sensor = 201	 temperature = 71.93	 relai = 1
temps = 92.00	sensor = 202	 temperature = 73.86	 relai = 1
temps = 92.50	sensor = 202	 temperature = 73.86	 relai = 1
temps = 93.00	sensor = 203	 temperature = 75.79	 relai = 1
temps = 93.50	sensor = 203	 temperature = 75.79	 relai = 1
temps = 94.00	sensor = 203	 temperature = 75.79	 relai = 1
temps = 94.50	sensor = 203	 temperature = 75.79	 relai = 1
temps = 95.00	sensor = 203	 temperature = 75.79	 relai = 1
temps = 95.50	sensor = 204	 temperature = 77.72	 relai = 1
temps = 96.00	sensor = 204	 temperature = 77.72	 relai = 1
temps = 96.50	sensor = 204	 temperature = 77.72	 relai = 1
temps = 97.00	sensor = 205	 temperature = 79.65	 relai = 1
temps = 97.50	sensor = 206	 temperature = 81.58	 relai = 0
temps = 98.00	sensor = 201	 temperature = 71.93	 relai = 0
temps = 98.50	sensor = 201	 temperature = 71.93	 relai = 0
temps = 99.00	sensor = 202	 temperature = 73.86	 relai = 0
temps = 99.50	sensor = 202	 temperature = 73.86	 relai = 0
temps = 100.00	sensor = 202	 temperature = 73.86	 relai = 0
temps = 100.50	sensor = 203	 temperature = 75.79	 relai = 0
temps = 101.00	sensor = 203	 temperature = 75.79	 relai = 0
temps = 101.50	sensor = 203	 temperature = 75.79	 relai = 0
temps = 102.00	sensor = 203	 temperature = 75.79	 relai = 0
temps = 102.50	sensor = 204	 temperature = 77.72	 relai = 0
temps = 103.00	sensor = 204	 temperature = 77.72	 relai = 0
temps = 103.50	sensor = 204	 temperature = 77.72	 relai = 0
temps = 104.00	sensor = 205	 temperature = 79.65	 relai = 0
