temps = 72.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 72.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 73.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 73.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 74.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 74.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 75.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 75.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 76.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 76.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 77.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 77.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 78.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 78.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 79.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 79.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 80.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 80.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 81.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 81.50	sensor = 189	 temperature = 0.00	 relai = 1
temps = 82.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 82.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 83.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 83.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 84.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 84.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 85.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 85.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 86.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 86.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 87.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 87.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 88.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 88.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 89.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 89.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 90.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 90.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 91.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 91.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 92.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 92.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 93.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 93.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 94.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 94.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 95.00	sensor = 191	 temperature = 0.00	 relai = 1
temps = 95.50	sensor = 191	 temperature = 0.00	 relai = 1
temps = 96.00	sensor = 191	 temperature = 0.00	 relai = 1
temps = 96.50	sensor = 191	 temperature = 0.00	 relai = 1
temps = 97.00	sensor = 191	 temperature = 0.00	 relai = 1
temps = 97.50	sensor = 191	 temperature = 0.00	 relai = 1
temps = 98.00	sensor = 191	 temperature = 0.00	 relai = 1
temps = 98.50	sensor = 192	 temperature = 0.00	 relai = 1
temps = 99.00	sensor = 192	 temperature = 0.00	 relai = 1
temps = 99.50	sensor = 192	 temperature = 0.00	 relai = 1
temps = 100.00	sensor = 192	 temperature = 0.00	 relai = 1
temps = 100.50	sensor = 192	 temperature = 0.00	 relai = 1
temps = 101.00	sensor = 192	 temperature = 0.00	 relai = 1
temps = 101.50	sensor = 192	 temperature = 0.00	 relai = 1
temps = 102.00	sensor = 192	 temperature = 0.00	 relai = 1
temps = 102.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 103.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 103.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 104.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 104.50	sensor = 193	 temperature = 0.00	 relai = 1
temps = 105.00	sensor = 193	 temperature = 0.00	 relai = 1
temps = 105.50	sensor = 194	 temperature = 0.00	 relai = 1
temps = 106.00	sensor = 194	 temperature = 0.00	 relai = 1
temps = 106.50	sensor = 194	 temperature = 0.00	 relai = 1
temps = 107.00	sensor = 194	 temperature = 0.00	 relai = 1
temps = 107.50	sensor = 195	 temperature = 0.00	 relai = 1
temps = 108.00	sensor = 195	 temperature = 0.00	 relai = 1
temps = 108.50	sensor = 195	 temperature = 0.00	 relai = 1
temps = 109.00	sensor = 195	 temperature = 0.00	 relai = 1
temps = 109.50	sensor = 195	 temperature = 0.00	 relai = 1
temps = 110.00	sensor = 195	 temperature = 0.00	 relai = 1
temps = 110.50	sensor = 196	 temperature = 0.00	 relai = 1
temps = 111.00	sensor = 196	 temperature = 0.00	 relai = 1
temps = 111.50	sensor = 196	 temperature = 0.00	 relai = 1
temps = 112.00	sensor = 196	 temperature = 0.00	 relai = 1
temps = 112.50	sensor = 197	 temperature = 0.00	 relai = 1
temps = 113.00	sensor = 197	 temperature = 0.00	 relai = 1
temps = 113.50	sensor = 197	 temperature = 0.00	 relai = 1
temps = 114.00	sensor = 197	 temperature = 0.00	 relai = 1
temps = 114.50	sensor = 198	 temperature = 0.00	 relai = 1
temps = 115.00	sensor = 198	 temperature = 0.00	 relai = 1
temps = 115.50	sensor = 198	 temperature = 0.00	 relai = 1
temps = 116.00	sensor = 198	 temperature = 0.00	 relai = 1
temps = 116.50	sensor = 198	 temperature = 0.00	 relai = 1
temps = 117.00	sensor = 199	 temperature = 0.00	 relai = 1
temps = 117.50	sensor = 199	 temperature = 0.00	 relai = 1
temps = 118.00	sensor = 199	 temperature = 0.00	 relai = 1
temps = 118.50	sensor = 199	 temperature = 0.00	 relai = 1
temps = 119.00	sensor = 200	 temperature = 0.00	 relai = 1
temps = 119.50	sensor = 200	 temperature = 0.00	 relai = 1
temps = 120.00	sensor = 200	 temperature = 0.00	 relai = 1
temps = 120.50	sensor = 200	 temperature = 0.00	 relai = 1
temps = 121.00	sensor = 201	 temperature = 0.00	 relai = 1
temps = 121.50	sensor = 201	 temperature = 0.00	 relai = 1
temps = 122.00	sensor = 201	 temperature = 0.00	 relai = 1
temps = 122.50	sensor = 202	 temperature = 0.00	 relai = 1
temps = 123.00	sensor = 202	 temperature = 0.00	 relai = 1
temps = 123.50	sensor = 202	 temperature = 0.00	 relai = 1
temps = 124.00	sensor = 202	 temperature = 0.00	 relai = 1
temps = 124.50	sensor = 203	 temperature = 0.00	 relai = 1
temps = 125.00	sensor = 203	 temperature = 0.00	 relai = 1
temps = 125.50	sensor = 203	 temperature = 0.00	 relai = 1
temps = 126.00	sensor = 204	 temperature = 0.00	 relai = 1
temps = 126.50	sensor = 204	 temperature = 0.00	 relai = 1
temps = 127.00	sensor = 204	 temperature = 0.00	 relai = 1
temps = 127.50	sensor = 204	 temperature = 0.00	 relai = 1
temps = 128.00	sensor = 205	 temperature = 0.00	 relai = 1
temps = 128.50	sensor = 205	 temperature = 0.00	 relai = 1
temps = 129.00	sensor = 205	 temperature = 0.00	 relai = 1
temps = 129.50	sensor = 206	 temperature = 0.00	 relai = 1
temps = 130.00	sensor = 206	 temperature = 0.00	 relai = 1
temps = 130.50	sensor = 206	 temperature = 0.00	 relai = 1
temps = 131.00	sensor = 206	 temperature = 0.00	 relai = 1
temps = 131.50	sensor = 207	 temperature = 0.00	 relai = 1
temps = 132.00	sensor = 207	 temperature = 0.00	 relai = 1
temps = 132.50	sensor = 207	 temperature = 0.00	 relai = 1
temps = 133.00	sensor = 207	 temperature = 0.00	 relai = 1
temps = 133.50	sensor = 208	 temperature = 0.00	 relai = 1
temps = 134.00	sensor = 208	 temperature = 0.00	 relai = 1
temps = 134.50	sensor = 208	 temperature = 0.00	 relai = 1
temps = 135.00	sensor = 209	 temperature = 0.00	 relai = 1
temps = 135.50	sensor = 209	 temperature = 0.00	 relai = 1
temps = 136.00	sensor = 209	 temperature = 0.00	 relai = 1
temps = 136.50	sensor = 209	 temperature = 0.00	 relai = 1
temps = 137.00	sensor = 210	 temperature = 0.00	 relai = 1
temps = 137.50	sensor = 210	 temperature = 0.00	 relai = 1
temps = 138.00	sensor = 210	 temperature = 0.00	 relai = 1
temps = 138.50	sensor = 211	 temperature = 0.00	 relai = 1
temps = 139.00	sensor = 211	 temperature = 0.00	 relai = 1
temps = 139.50	sensor = 211	 temperature = 0.00	 relai = 1
temps = 140.00	sensor = 211	 temperature = 0.00	 relai = 1
temps = 140.50	sensor = 212	 temperature = 0.00	 relai = 1
temps = 141.00	sensor = 212	 temperature = 0.00	 relai = 1
temps = 141.50	sensor = 212	 temperature = 0.00	 relai = 1
temps = 142.00	sensor = 213	 temperature = 0.00	 relai = 1
temps = 142.50	sensor = 213	 temperature = 0.00	 relai = 1
temps = 143.00	sensor = 213	 temperature = 0.00	 relai = 1
temps = 143.50	sensor = 214	 temperature = 0.00	 relai = 1
